,طابع_زمني,العمر,الجنس,المؤهل_العلمي,العمل,السكن,المحافظة,الكلية,مستوى_قبول,ركبت_سيارة,تمتلك_رخصة_قيادة_سيارة,تمتلك_سيارة,البنية_التحتية,الفجوة_في_إصلاح,عدم_ثقة_AI,safety,تكاليف_صيانة,fear_of_hacker,السيارات_ذاتية_القيادة_سوف_تسرق_بعض_الوظائف,اثق_في_التكنولوجيا,معرفة_السيارات_ذاتية_القيادة,أفكر_في_شراء,القلق_الخصوصية,تكلفة_شراء_سيارات,تكلفة_القطع,تكلفة_تصليح,is_elctric,safer,less_accident,less_population,no_pieaces,no_rapairer,عدم_التزام_قوانين
0,1:43:54 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,0,1,1,3,5,5,3,5,1,3,5,1,1,1,4,4,5,1,1,2,4,5,5,1
1,2:02:18 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,0,0,0,5,2,5,1,4,3,5,4,4,3,4,5,4,4,5,5,5,5,4,3,5
2,2:02:21 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,2,0,0,0,5,3,4,5,5,5,5,3,3,1,5,4,4,4,2,1,1,1,5,5,5
3,2:08:46 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,0,0,0,5,4,5,5,3,5,5,3,1,1,5,5,5,5,5,1,1,5,5,5,5
4,3:11:50 م 2024/08/13,22.0,أنثى,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,4,4,5,4,4,5,5,3,4,2,4,5,5,5,3,3,3,4,4,4,4
5,4:02:12 م 2024/08/13,21.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مخيم,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,0,1,0,3,5,5,5,5,5,3,5,5,5,2,3,2,1,1,1,1,2,2,5,5
6,4:06:57 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,4,0,0,0,5,4,4,3,5,4,5,3,3,3,2,5,5,5,3,2,2,3,5,5,5
7,4:07:06 م 2024/08/13,22.0,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,0,0,0,5,4,4,1,3,3,2,4,4,5,4,3,3,3,3,4,4,3,3,3,3
8,4:09:15 م 2024/08/13,20.0,أنثى,بكالوريوس,لا أعمل,مدينة,رام الله,كلية العلوم الإنسانية والتربوية,4,1,0,0,4,3,1,3,5,2,1,4,3,5,2,5,5,5,3,3,3,4,4,4,5
9,4:13:30 م 2024/08/13,20.0,أنثى,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,0,1,1,2,3,4,4,4,5,3,3,2,2,3,4,4,4,3,3,3,3,4,4,5
10,4:14:53 م 2024/08/13,28.0,أنثى,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية العلوم الإنسانية والتربوية,4,0,1,0,5,4,4,3,5,4,4,3,1,3,4,4,4,4,3,3,1,1,5,5,3
11,4:17:35 م 2024/08/13,21.0,أنثى,بكالوريوس,لا أعمل,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,5,3,5,4,3,5,4,4,1,1,3,4,4,4,3,1,2,1,4,4,4
12,4:24:22 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,0,4,4,4,4,4,4,1,5,4,1,3,4,4,4,5,5,5,5,5,5,5
13,4:29:48 م 2024/08/13,20.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,0,1,1,3,4,5,5,4,5,5,4,2,1,4,4,4,4,4,1,1,3,4,4,4
14,4:41:40 م 2024/08/13,21.0,أنثى,بكالوريوس,لا أعمل,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,5,3,4,4,4,2,3,3,3,1,1,5,5,5,5,3,4,2,5,5,5
15,4:48:19 م 2024/08/13,20.0,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,0,1,0,4,1,3,3,3,5,3,1,3,2,4,3,3,3,5,1,3,4,1,1,5
16,4:53:43 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,1,2,5,4,5,5,5,3,5,1,1,1,4,3,4,4,4,1,1,4,3,2
17,5:09:06 م 2024/08/13,22.0,ذكر,دراسات  العالية,أعمل في مجالات أخرى,مدينة,نابلس,كلية القانون,4,0,1,1,3,2,2,2,4,3,2,4,4,5,2,4,3,3,3,3,4,4,3,2,2
18,5:16:29 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,1,5,3,3,5,3,2,4,3,1,1,2,4,5,5,5,3,1,3,3,3,5
19,5:22:02 م 2024/08/13,20.0,أنثى,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,0,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20,5:25:30 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,5,3,2,1,3,3,5,5,5,3,3,5,5,5,3,5,5,5,5,5,5
21,5:26:20 م 2024/08/13,24.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,4,0,0,0,3,2,4,1,4,4,4,4,2,4,3,5,5,5,5,2,4,5,5,5,5
22,5:26:54 م 2024/08/13,22.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,5,0,1,1,5,4,5,4,5,5,4,4,4,5,4,5,5,5,3,4,4,1,4,4,5
23,5:26:57 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,4,0,0,0,5,4,4,3,4,4,3,3,4,2,4,4,4,4,2,2,3,4,4,4,4
24,5:28:11 م 2024/08/13,40.0,أنثى,دراسات  العالية,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الدراسات العليا,4,0,1,1,4,4,4,2,5,5,4,4,2,2,4,5,5,5,2,3,3,4,4,4,4
25,5:31:07 م 2024/08/13,24.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,4,0,1,0,4,4,3,2,4,3,3,5,2,2,2,5,4,4,1,3,4,5,4,4,3
26,5:31:36 م 2024/08/13,22.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,1,3,3,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4
27,5:31:49 م 2024/08/13,30.0,ذكر,دراسات  العالية,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الدراسات العليا,3,0,1,1,5,2,4,3,4,4,5,2,5,1,4,2,2,3,2,2,5,3,5,5,5
28,5:31:52 م 2024/08/13,25.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,2,0,0,0,5,2,4,4,4,5,5,4,2,1,5,4,5,5,3,1,1,5,4,3,5
29,5:32:14 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30,5:33:32 م 2024/08/13,23.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,0,1,0,5,5,4,4,4,3,3,4,4,2,4,5,5,4,4,5,3,3,4,4,4
31,5:33:51 م 2024/08/13,24.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,قلقيلية,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,3,3,5,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,4,3,3
32,5:34:05 م 2024/08/13,20.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,0,1,1,2,3,5,4,3,3,2,4,5,1,2,1,3,3,1,1,2,1,4,5,3
33,5:36:05 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,4,2,4,3,4,4,2,3,3,2,3,5,5,5,5,2,2,2,4,2,4
34,5:39:56 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,0,5,3,4,4,2,4,4,3,3,4,3,3,4,3,4,2,2,4,3,3,5
35,5:40:00 م 2024/08/13,36.0,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الاقتصاد,4,0,1,1,5,3,1,1,3,3,5,5,4,4,1,5,5,3,5,5,5,5,4,4,4
36,5:40:58 م 2024/08/13,24.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,4,0,1,0,4,4,5,4,4,3,2,3,3,1,3,5,5,5,2,2,3,5,3,4,4
37,5:42:08 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,4,2,4,4,4,4,4,3,2,2,2,4,4,4,2,2,3,4,4,4,4
38,5:45:05 م 2024/08/13,20.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الفنون الجميلة,3,0,0,0,2,2,2,3,3,3,4,3,4,1,3,5,3,3,3,3,2,3,3,3,4
39,5:46:14 م 2024/08/13,22.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,0,5,4,3,5,5,5,5,3,2,1,3,5,5,5,3,3,3,5,5,5,5
40,5:48:52 م 2024/08/13,24.0,ذكر,بكالوريوس,أعمل في مجال التكنولوجيا,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,1,0,1,0,5,5,5,5,4,5,5,4,1,1,5,3,3,3,3,1,1,1,3,3,4
41,5:50:58 م 2024/08/13,20.0,ذكر,بكالوريوس,لا أعمل,مدينة,نابلس,كلية الهندسة وتكنولوجيا المعلومات,2,0,0,0,4,3,5,5,2,3,1,2,3,1,3,4,3,3,2,1,1,1,3,3,5
42,5:52:51 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,ضاحية,طولكرم,كلية الهندسة وتكنولوجيا المعلومات,1,0,0,0,5,3,5,5,3,3,4,3,2,1,3,3,3,3,3,2,2,4,4,4,5
43,5:57:28 م 2024/08/13,24.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,4,0,0,0,4,3,3,3,3,4,4,4,5,3,3,5,5,5,5,2,3,2,3,4,3
44,5:59:35 م 2024/08/13,25.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,0,4,4,5,5,5,5,5,2,1,3,3,5,5,5,3,3,3,3,3,4,5
45,6:00:07 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,1,5,3,4,3,2,1,2,3,2,1,2,3,3,3,3,2,2,4,2,2,2
46,6:01:18 م 2024/08/13,23.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,5,3,4,3,4,4,4,4,3,3,4,4,4,4,3,4,4,3,5,4,4
47,6:04:05 م 2024/08/13,22.0,أنثى,بكالوريوس,أعمل في مجال التكنولوجيا,قرية,جنين,كلية الهندسة وتكنولوجيا المعلومات,3,0,0,0,5,5,2,3,5,5,5,4,1,1,3,3,3,3,3,3,3,5,3,5,4
48,6:06:33 م 2024/08/13,46.0,ذكر,بكالوريوس,أعمل في مجالات أخرى,مدينة,نابلس,كلية الاقتصاد,4,0,1,1,4,5,3,2,4,2,3,5,2,2,3,5,5,5,4,2,5,5,5,4,5
49,6:09:12 م 2024/08/13,29.0,أنثى,دبلوم,لا أعمل,مدينة,نابلس,كلية الاقتصاد,3,1,0,0,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3
50,6:10:48 م 2024/08/13,40.0,أنثى,بكالوريوس,أعمل في مجالات أخرى,قرية,نابلس,كلية العلوم الإنسانية والتربوية,1,0,0,0,5,5,4,4,5,5,3,2,2,1,3,5,5,5,5,2,4,5,5,5,5
51,6:14:46 م 2024/08/13,21.0,ذكر,بكالوريوس,لا أعمل,قرية,نابلس,كلية الهندسة وتكنولوجيا المعلومات,3,0,1,0,4,5,3,3,4,2,4,3,1,1,3,5,4,3,3,1,3,1,4,5,3
